age,diameter,length,material,install_year,condition_score,criticality,pressure_zone,Failure_Tot,failure,longitude,latitude
45,450,34.2105629728948,DI,1979.0,8.5,6,0,0,0,,
56,300,0.355117671105161,DI,1968.0,8.5,7,1,6,1,-80.502936881436,43.4234799778811
45,450,67.852910448331,DI,1979.0,6.1,7,0,2,1,-80.5395612739008,43.4185843386513
45,450,7.03932838683089,DI,1979.0,4.58,6,0,2,1,-80.5395612739008,43.4185843386513
45,450,14.956130761421,DI,1979.0,8.5,6,0,0,0,,
45,450,38.5268909037991,DI,1979.0,8.5,6,0,0,0,,
45,450,12.4519639246543,DI,1979.0,8.5,6,0,0,0,,
45,450,124.970064901045,DI,1979.0,8.5,7,0,0,0,,
45,450,55.671581169996,DI,1979.0,8.5,6,0,1,1,-80.5395939740255,43.4185473739211
9,300,63.9485848398879,PVC,2015.0,9.35,0,2,0,0,,
27,300,98.0832805701851,PVC,1997.0,9.35,7,1,0,0,,
47,300,141.533052012408,DI,1977.0,8.5,7,2,0,0,,
48,150,42.7365942209405,PVC,1976.0,9.35,6,1,0,0,,
48,150,12.1917414998642,PVC,1976.0,9.35,6,1,0,0,,
18,200,69.5697443098412,PVC,2006.0,9.35,6,0,0,0,,
18,200,8.44509625213796,PVC,2006.0,9.35,6,0,0,0,,
18,200,8.7890176020329,PVC,2006.0,9.35,6,3,0,0,,
18,200,8.32157024593635,PVC,2006.0,9.35,6,3,0,0,,
18,200,176.655377255589,PVC,2006.0,9.35,7,3,0,0,,
23,300,1.12320285347848,PVC,2001.0,9.35,7,1,0,0,,
21,300,21.3395426072407,PVC,2003.0,9.35,7,2,0,0,,
21,300,196.859012719462,PVC,2003.0,9.35,6,2,0,0,,
29,150,3.7371340158361,DI,1995.0,9.1,7,1,0,0,,
29,150,4.99295177500279,DI,1995.0,9.1,6,1,0,0,,
28,300,92.696164797707,DI,1996.0,9.1,7,1,0,0,,
58,200,7.6197389350217,DI,1966.0,8.5,6,1,5,1,-80.448713198172,43.4599801602549
58,200,91.2020221142905,DI,1966.0,4.7,6,1,5,1,-80.448713198172,43.4599801602549
26,250,17.9611672229995,PVC,1998.0,9.35,5,4,0,0,,
26,250,258.439482892856,PVC,1998.0,9.35,6,4,0,0,,
43,150,156.021688028756,DI,1981.0,8.5,5,1,0,0,,
44,150,8.53445434017783,DI,1980.0,8.5,6,2,0,0,,
44,150,0.752106907436349,DI,1980.0,8.5,0,2,0,0,,
44,150,150.420304491366,DI,1980.0,8.5,6,2,0,0,,
34,300,16.7633207929942,DI,1990.0,9.1,7,3,0,0,,
34,300,14.3355531084652,DI,1990.0,9.1,6,1,0,0,,
34,300,101.748376333877,DI,1990.0,9.1,6,1,0,0,,
34,300,13.212334493422,DI,1990.0,9.1,6,1,0,0,,
34,300,91.4371570758878,DI,1990.0,9.1,6,1,0,0,,
34,300,6.58077389995271,DI,1990.0,9.1,0,1,0,0,,
29,200,5.17758500471781,DI,1995.0,9.1,6,1,0,0,,
29,200,6.42995044117653,DI,1995.0,9.1,6,1,0,0,,
23,200,71.616813878608,PVC,2001.0,9.35,6,1,0,0,,
23,200,18.8617180081409,PVC,2001.0,9.35,7,1,0,0,,
73,150,198.637432559784,CI,1951.0,4.95,6,1,4,1,-80.4916539914871,43.4350659566065
47,200,7.16337855464204,DI,1977.0,8.5,6,2,0,0,,
47,200,206.477449859051,DI,1977.0,8.5,6,2,0,0,,
47,200,5.83761775996729,DI,1977.0,8.5,6,2,0,0,,
22,300,0.461306839306421,DI,2002.0,9.1,6,1,0,0,,
22,300,61.1732254428792,DI,2002.0,9.1,6,1,0,0,,
74,150,5.34080898218031,CI,1950.0,7.75,6,1,2,1,-80.5011607858477,43.4357885812536
73,300,33.5307498642632,CI,1951.0,7.75,7,1,0,0,,
70,150,12.0396003261558,CI,1954.0,7.75,6,1,0,0,,
70,150,89.488207947105,CI,1954.0,7.75,6,1,0,0,,
69,100,58.6602396773349,CI,1955.0,3.83,6,1,2,1,-80.5082739977252,43.4405245182506
15,200,122.400017099257,PVC,2009.0,9.35,7,1,0,0,,
15,200,3.7830281026879,PVC,2009.0,9.35,0,1,0,0,,
19,150,7.53770445741799,PVC,2005.0,9.35,6,2,0,0,,
19,150,88.9678729099633,PVC,2005.0,9.35,6,2,0,0,,
55,150,69.5514928850706,DI,1969.0,8.5,5,1,0,0,,
55,150,7.62112895044281,DI,1969.0,8.5,6,1,0,0,,
29,200,9.19804957017507,DI,1995.0,9.1,6,1,0,0,,
